"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","LMS service","0","Users","0","0","Create Entity","0"
"2","LMS service","0","Files","0","1","Validate Entity","0"
"0","","0","","6","0","","0"
"1","LMS service","0","Courses","0","0","Update Entity","0"
"1","LMS service","0","Files","0","0","Get Entity","0"
"1","LMS service","0","Users","0","0","Get Entity","0"
"1","LMS service","0","Files","0","0","Create Entity","0"
"1","LMS service","0","Authentication","0","0","Login","0"
"1","LMS service","0","Courses","0","0","Get Entities","0"
"1","LMS service","0","Courses","0","0","Create Entity","0"
"1","LMS service","0","Files","0","0","Delete Entity","0"
